num_of_evaluation	reward
0	-0.027045139366412417
5000	-0.027045139366412417
10000	-0.027045139366412417
15000	194.6443036178121
20000	335.27717981852805
25000	374.2975708828868
30000	249.11596581242776
35000	316.80563725524877
40000	362.4661079210906
45000	341.2841695999168
50000	349.9924748842982
55000	337.3376580705856
60000	225.79045692124396
65000	462.65148338377713
70000	367.77709331222644
75000	433.9183940598199
80000	398.5237667567427
85000	390.7953872382632
90000	383.0373897485789
95000	668.8211342392603
100000	776.2810365247426
105000	547.2143396712435
110000	521.0432556308673
115000	701.3953025920255
120000	711.1945828088849
125000	684.6274961813743
130000	46.41920890664116
135000	762.8011254654374
140000	681.349301537871
145000	692.9888689250613
150000	841.6151516303695
155000	571.8778563224485
160000	984.9076591497371
165000	918.5357446900082
170000	1120.3997173552598
175000	2161.6090536866323
180000	1231.0078678442947
185000	1007.7458720223847
190000	1303.1197082128356
195000	2060.36046848358
200000	2541.6831636588568
205000	1395.9258379411465
210000	2007.4732950428472
215000	3098.6722862489455
220000	2613.9874896738966
225000	3060.2064380442503
230000	2567.9686115442955
235000	3023.5371072572875
240000	3398.1520911933694
245000	2640.1253458097635
250000	1230.0733206005364
255000	3391.1125744647097
260000	3842.752892104899
265000	3563.3570746987634
270000	3472.4221495509933
275000	3644.899737798683
280000	3568.377097726686
285000	3910.531879224002
290000	3485.9495262661053
295000	3678.0456763522297
300000	3838.1941276748403
305000	3915.195027051194
310000	3947.2565696896645
315000	3694.8400797605464
320000	3332.3278309084803
325000	4013.69754012591
330000	3869.6798256858137
335000	4001.706830644748
340000	4183.215543840035
345000	1571.7857219051139
350000	3218.058329587128
355000	4081.592970082312
360000	3580.0961325138787
365000	4006.0132455902776
370000	4101.36571948237
375000	4055.8431976308116
380000	2180.431793295914
385000	4012.9496053587145
390000	4280.584524469614
395000	4218.926199652125
400000	3135.163434505802
405000	4246.2031432783215
410000	4297.88968280443
415000	4217.970598184622
420000	4215.209000565117
425000	4202.04019210472
430000	4458.527454278888
435000	4339.565498178513
440000	4438.752807222461
445000	4396.338593036064
450000	4482.2536189197635
455000	4170.915019891701
460000	4380.3440346466605
465000	4465.0482997405
470000	4282.871785674606
475000	4466.053934028486
480000	4568.134008293452
485000	4374.949500100748
490000	3998.053574339071
495000	4255.6232554502185
500000	4601.750708120462
505000	4493.4006269185775
510000	4575.726888927947
515000	4594.792138656974
520000	4541.757499509125
525000	4488.016773990148
530000	4417.624250216036
535000	4443.853510021216
540000	4376.357514295233
545000	4535.245625075055
550000	4211.34104860467
555000	4559.369342035081
560000	4511.364862813223
565000	4517.920283512186
570000	4574.880929539191
575000	4549.89580258476
580000	4587.146161624833
585000	4752.876654002199
590000	4443.131493687295
595000	4580.099088682403
600000	4541.7110788037335
605000	4529.399255414783
610000	4536.05251253371
615000	4518.182355971411
620000	4710.978263737523
625000	4531.962682944721
630000	4509.141958069098
635000	4632.37982725252
640000	4624.472271279911
645000	4762.457237189943
650000	4719.866407707713
655000	4560.980659848435
660000	4321.618089398462
665000	4553.575678391558
670000	4528.8284171510495
675000	4665.224275475771
680000	4637.585885007688
685000	4674.619013005404
690000	4567.392658293487
695000	4817.724794587138
700000	4701.131164126115
705000	4710.2366710415245
710000	4634.366078996409
715000	4782.02787670211
720000	4613.904080118824
725000	4834.406949666326
730000	4753.2714750042815
735000	4772.805842468131
740000	4668.823229641334
745000	4781.405363123345
750000	4649.257306024541
755000	4747.387513601126
760000	4884.686986541261
765000	4605.068172313841
770000	4728.2843038150295
775000	4786.700348361801
780000	4798.196644761292
785000	4851.775474716656
790000	4751.866329093247
795000	4883.964180872389
800000	4822.153217453724
805000	4737.336918261047
810000	4704.535147353502
815000	4560.759817110442
820000	4835.7776547499025
825000	4816.1994413763205
830000	4747.3695794225705
835000	4826.318328953744
840000	4771.224119857301
845000	4726.1909069463645
850000	4915.729066400697
855000	4860.082631689269
860000	4802.9406867881635
865000	4869.983048673458
870000	4820.304927579356
875000	4846.377659276988
880000	4848.9584373204525
885000	4923.3389244359505
890000	4746.3851225687895
895000	4977.4863395804705
900000	4809.365151222091
905000	4926.108148303975
910000	4910.275735886673
915000	4938.192023052165
920000	4825.982810589108
925000	4819.081774536867
930000	4728.388028823071
935000	4809.408113402785
940000	5074.373129218626
945000	4962.125665572008
950000	4865.059755336927
955000	4920.686380566349
960000	4939.24079859526
965000	4830.571590951971
970000	4904.3855465241
975000	4969.464078158493
980000	4945.6599420057155
985000	4968.936723003673
990000	4783.102374480151
995000	5014.945593945542
1000000	4962.29508045975
