num_of_evaluation	reward
0	-5.0284990506733775
5000	-5.0284990506733775
10000	-5.0284990506733775
15000	506.23909575445396
20000	1001.2918016717564
25000	3854.8577410956073
30000	4096.565861793237
35000	3839.8286095008675
40000	4337.252292335787
45000	4694.887761850152
50000	5099.65691592907
55000	5239.008007483903
60000	5007.2608411274405
65000	5837.60719254786
70000	6010.789258758054
75000	6040.14926508551
80000	6257.133107664699
85000	6307.943720431942
90000	6496.398650359906
95000	5762.85010234735
100000	6335.274499825946
105000	6574.265095018878
110000	6573.7681591488
115000	6398.825737032585
120000	6631.633041201254
125000	6248.983856648665
130000	6653.772864585715
135000	6839.0951840639245
140000	6971.824133297387
145000	6784.675955427328
150000	6884.459574646096
155000	7102.156611308671
160000	7199.490257559968
165000	7284.0143834125065
170000	7306.528622271119
175000	7644.789540687621
180000	7305.016025735192
185000	7690.22436655333
190000	7660.128289312723
195000	7661.813366854721
200000	6659.186037064319
205000	7568.064937195451
210000	7887.166700165248
215000	7769.1859462776265
220000	8053.496311434597
225000	8133.341432211413
230000	8103.241737162838
235000	8276.517081023625
240000	8156.443345231726
245000	8181.924622613873
250000	8260.474694586752
255000	8354.153962851493
260000	8239.957979527138
265000	8476.969940160352
270000	8275.156325762615
275000	8268.667755014805
280000	8566.60534752917
285000	8608.829472767211
290000	8841.714022550243
295000	8444.500703228223
300000	8715.585624945972
305000	8617.04840261852
310000	8960.795599896006
315000	8695.663611699256
320000	8874.22565788004
325000	8993.602826098335
330000	8987.522516309331
335000	8548.556034315521
340000	9038.766861352979
345000	8894.044225116231
350000	8915.032613474144
355000	8290.42871889397
360000	8856.59710729224
365000	9205.457674623722
370000	9138.084854659344
375000	9368.215973259315
380000	9111.212166607886
385000	9345.27325405808
390000	9337.818988251587
395000	9044.292092465788
400000	9248.934683568772
405000	8949.01421813473
410000	9191.95246862368
415000	9330.73966302029
420000	9419.725492927333
425000	9477.23802702401
430000	9083.176639242352
435000	9476.219600071705
440000	9567.241176442
445000	9539.882496434335
450000	9372.250279605703
455000	9442.75144390314
460000	8675.070190692262
465000	9698.089145265414
470000	9788.912660977843
475000	9788.508664677425
480000	9540.215313618555
485000	9581.628737614525
490000	9592.946806186981
495000	9566.721652890807
500000	9122.310993848398
505000	9876.05266883214
510000	9617.384525945112
515000	9643.706930843293
520000	9741.39484824488
525000	10072.314395300713
530000	9991.437164399054
535000	9534.156874576827
540000	9945.648970932418
545000	10048.681743070718
550000	10103.290322236473
555000	10017.826940747264
560000	9989.686314318438
565000	9832.756069310075
570000	10035.844577978492
575000	9672.663466933325
580000	9709.589786317189
585000	10113.298076161347
590000	9835.473809811569
595000	9880.850420256422
600000	10051.384945126074
605000	9790.496615367463
610000	9908.945958960609
615000	9450.621553678717
620000	10074.326018587544
625000	10046.955039613771
630000	9971.893971535052
635000	10037.063583735315
640000	9693.651888515311
645000	9999.819042566902
650000	10131.700457253912
655000	10086.436826854879
660000	9460.036958094423
665000	10257.105400155246
670000	10168.056961471135
675000	10127.267768255993
680000	10187.293965595329
685000	9933.336692059233
690000	10386.92516060168
695000	10194.720924282761
700000	10146.12183000244
705000	10404.277724844824
710000	10349.257743060778
715000	10147.066755491662
720000	10466.286866026488
725000	9936.911416392348
730000	9820.478782195805
735000	10296.597198517004
740000	10062.178861684717
745000	10336.825868823265
750000	10356.662039871826
755000	10430.147241619403
760000	10394.941801328123
765000	9513.843930743786
770000	10460.664627848932
775000	9543.878792616502
780000	9977.498672817044
785000	10266.954026156218
790000	10572.058572191716
795000	9618.01337565685
800000	10309.216234407819
805000	10407.860731009987
810000	10384.194354648096
815000	10497.251296252096
820000	10603.460717638438
825000	10540.920407801874
830000	10541.334798283055
835000	10669.73523156383
840000	10702.989399366455
845000	10467.479470032602
850000	10398.30164211738
855000	10701.34349598398
860000	10907.300563688059
865000	10762.827973664846
870000	10567.84304060743
875000	10504.42308038912
880000	10774.47986426848
885000	10714.171241020707
890000	10543.588738482686
895000	10738.321470797335
900000	10675.339212170522
905000	10875.461831138995
910000	10684.60192118853
915000	10775.327741426909
920000	10849.36619707524
925000	10923.619733449053
930000	10966.233506932833
935000	10807.530261562864
940000	10773.927663828581
945000	10874.434967971094
950000	11020.742106642194
955000	10973.529853627366
960000	10777.267691197676
965000	10816.699490418756
970000	10856.231674647903
975000	10715.510692199188
980000	11042.36603769707
985000	10376.850765709856
990000	10949.437528920596
995000	10672.623104422939
1000000	10721.977453506059
