num_of_evaluation	reward
0	-1.4377953308833256
5000	-1.4377953308833256
10000	-1.4377953308833256
15000	-222.24859020569806
20000	1590.851452817913
25000	1931.821533515654
30000	2166.7582008880267
35000	3200.028741975417
40000	3681.9850981207665
45000	4164.757770365184
50000	4976.040996926824
55000	5315.445031159704
60000	5476.2355911522245
65000	5530.813079991497
70000	5794.4975486532985
75000	5856.111284505046
80000	6401.740278258624
85000	7022.46141831415
90000	7306.168296132751
95000	7172.189554795879
100000	7658.036780754801
105000	7152.428549673142
110000	7352.958336989545
115000	7878.875347141661
120000	8176.669948833609
125000	8530.309260910972
130000	8696.514679631666
135000	8285.854820051092
140000	8969.990450241381
145000	9495.425069501176
150000	9377.199446425966
155000	9113.763640348066
160000	9499.14167662161
165000	9572.145150410937
170000	9755.133835208571
175000	9781.725896217304
180000	9254.458374707794
185000	9807.838273083009
190000	9603.827383275499
195000	9492.007131340531
200000	9763.819587954207
205000	9282.32833431984
210000	10059.025477377523
215000	10093.624338382948
220000	9970.886849604676
225000	10244.128333709054
230000	10319.427382137954
235000	9314.871335504942
240000	10101.706899725174
245000	10199.339459110124
250000	10441.839034953933
255000	9880.121048722507
260000	10532.64469236402
265000	10757.885614368666
270000	10617.979297341872
275000	10695.040040254975
280000	10676.056278786597
285000	10342.837954434139
290000	10464.2649541823
295000	10821.75913818748
300000	10433.558988986719
305000	10896.82516286342
310000	10861.401261169685
315000	10469.459188972953
320000	10441.494709402203
325000	10142.87965175389
330000	10764.546943529964
335000	9808.750993165999
340000	10625.64741446031
345000	10986.368390538966
350000	10828.093810540864
355000	11071.396215441135
360000	10991.594391480296
365000	10839.494573527405
370000	11031.472608969278
375000	11043.283507400613
380000	11096.409463230368
385000	10911.721468812797
390000	11391.556217595255
395000	11005.8974572223
400000	10889.973385734926
405000	10944.34940268339
410000	10935.033755405382
415000	10970.158654961637
420000	11190.161292654597
425000	10941.01174108114
430000	10883.92628537502
435000	10954.991981940406
440000	11412.947246889753
445000	11185.562286191638
450000	11378.886741960278
455000	11404.34188105272
460000	11410.562922215397
465000	11220.318937212436
470000	11393.785146496695
475000	10771.892921908939
480000	11026.570735395897
485000	11444.998757794407
490000	11391.084098950421
495000	11474.703557609906
500000	11432.477226657364
505000	11231.721257263951
510000	11073.96717007321
515000	11300.799466302982
520000	11214.262841483402
525000	11479.325168706626
530000	11473.608187350548
535000	11456.216355977518
540000	11306.731922602545
545000	11357.078096365662
550000	11237.356741137504
555000	11427.983858543494
560000	11650.26808330401
565000	11356.858082197035
570000	11275.612831267383
575000	11482.52617171683
580000	11645.275439592298
585000	11480.406475365593
590000	11470.996323045601
595000	11673.448647784902
600000	11629.828336705663
605000	11690.589390110912
610000	11517.623114554168
615000	11496.175552109158
620000	11670.29289833493
625000	11568.777827641763
630000	11833.140619039355
635000	11576.774652379609
640000	11715.200397214396
645000	11648.74290816618
650000	11804.642712417972
655000	11688.542831522198
660000	11888.910389430064
665000	11567.082437469568
670000	11847.89675247353
675000	11723.78928216465
680000	11888.857046235662
685000	11373.222433145165
690000	11853.436352716617
695000	11815.078174733313
700000	11821.739948576245
705000	11849.80628935847
710000	11830.992486271378
715000	11571.413877977455
720000	11833.239851828494
725000	11541.338669859653
730000	11799.045902126743
735000	12020.307114347212
740000	10937.307311695333
745000	11931.267352926046
750000	11835.558806354875
755000	11870.618679889867
760000	12118.347407633108
765000	11583.096721199321
770000	11580.105391442374
775000	11888.636572092406
780000	12269.817935256175
785000	11926.157504334584
790000	11766.762732962496
795000	11742.467739690605
800000	11800.680855455295
805000	11846.731384508781
810000	11690.893932195511
815000	11476.380585807668
820000	12075.603997354066
825000	12180.352850184905
830000	12004.858699867587
835000	12043.886922106287
840000	12059.858946189377
845000	12076.975439378595
850000	12118.102950794364
855000	12035.075130514355
860000	11708.827590377645
865000	11791.1546936493
870000	12160.05706990854
875000	11669.771734738655
880000	11916.081526777478
885000	12083.949852110209
890000	11406.165238363352
895000	12004.870764240019
900000	12324.508006409302
905000	12183.963414523269
910000	12285.518567447234
915000	12001.673402807084
920000	11897.08883114828
925000	12185.733046017327
930000	12106.559120705113
935000	12085.298188904915
940000	12172.793311310763
945000	12380.858609895347
950000	12038.590214416923
955000	12053.763288273036
960000	11915.14334754121
965000	11767.254174192138
970000	11814.163360262186
975000	11527.089304069264
980000	11617.269808768653
985000	11722.040597128103
990000	11432.426842765053
995000	11650.506287008191
1000000	11600.916343855804
