num_of_evaluation	reward
0	5.79332972670438
5000	5.79332972670438
10000	5.79332972670438
15000	-119.84324976361536
20000	2083.322484078967
25000	2925.2938926553593
30000	2918.839455216177
35000	4038.319844110682
40000	4190.460252635548
45000	4258.1341566287
50000	4520.997307063556
55000	3576.685044509766
60000	4281.167513262797
65000	4829.209030200187
70000	4781.803367754688
75000	4642.277276278818
80000	4996.291910353742
85000	5195.7612664701255
90000	5410.595062158444
95000	5415.404680946699
100000	5374.36055292179
105000	5405.144444406191
110000	5531.059609001104
115000	5839.660362180591
120000	5994.840064424289
125000	3787.1566376149885
130000	5891.323491992858
135000	5704.902974854943
140000	6537.850168264519
145000	6287.244207027351
150000	6267.716862231651
155000	6657.3416455520155
160000	6874.332890382122
165000	7697.58065224494
170000	7483.178639223848
175000	6836.282306220086
180000	7723.402276209233
185000	7656.4621642351
190000	7885.5914106064465
195000	7897.8175188415935
200000	8112.653351881981
205000	7351.927087647385
210000	8232.167988953015
215000	8405.240329593531
220000	8237.776193534986
225000	8574.98074589366
230000	8618.786399573824
235000	8052.8581591664
240000	8966.954006488315
245000	8790.640401868848
250000	8946.832609902922
255000	8880.46253687138
260000	8601.306250361258
265000	8790.40159319307
270000	9035.61034723583
275000	8208.599184706787
280000	9332.688844726343
285000	8972.388840356414
290000	9182.415075193303
295000	9150.672995748439
300000	9467.403201491139
305000	8575.14140849059
310000	9512.023438084918
315000	8590.76368712209
320000	9673.239613827449
325000	9533.840323512139
330000	9407.383737570382
335000	9441.141825220313
340000	9519.373906776182
345000	9417.744314184822
350000	9673.79328591841
355000	9837.825840244588
360000	8815.370535968754
365000	9809.4118035662
370000	9738.627108338425
375000	9870.11821866606
380000	9827.796033956827
385000	9270.468349483537
390000	9972.101075428687
395000	9224.747530848665
400000	9916.297306202581
405000	9765.130811627385
410000	10058.214031831603
415000	9080.076685797718
420000	10124.663083386531
425000	9923.133967926282
430000	9869.44952531074
435000	10154.905449146798
440000	10146.111187450406
445000	9992.74927554771
450000	9612.627982041447
455000	9881.75391970226
460000	10164.604042446372
465000	9958.171634349686
470000	9850.302567576584
475000	9541.143346840898
480000	9109.988522529073
485000	10280.286000884938
490000	9986.148321530496
495000	10035.155272785476
500000	10286.964729140534
505000	10187.213277024264
510000	9628.032526502086
515000	10362.234999833929
520000	10184.681318153356
525000	10436.409693579766
530000	10373.729983990299
535000	10114.595997646831
540000	10259.785115614985
545000	10486.774053661156
550000	10218.885037141545
555000	10429.245599602891
560000	10492.31149952522
565000	10535.157930664465
570000	10193.619145794828
575000	10588.64622205999
580000	10773.57064348944
585000	10622.960580349645
590000	10577.184127858134
595000	10377.659578591487
600000	10738.289858997723
605000	10442.361912077029
610000	10438.991085794045
615000	10585.459100668448
620000	10690.284305635389
625000	10554.112429126557
630000	10639.940365516264
635000	10893.083998051296
640000	10755.466853416237
645000	10708.287798763371
650000	10545.456929626258
655000	10859.217966210714
660000	10783.838661188223
665000	10552.074706229163
670000	10024.453983463503
675000	10882.908826616327
680000	10504.349527646724
685000	10674.642498588406
690000	10589.166513137281
695000	10894.163299056734
700000	10351.104067451686
705000	10248.78383473234
710000	10830.024247380232
715000	10692.551014539315
720000	10873.611211129548
725000	10974.702361559392
730000	10780.122963582755
735000	10831.938364445277
740000	10322.533081273763
745000	10868.659144716907
750000	10553.185557581244
755000	10579.69114725366
760000	10958.30567707909
765000	10487.80756558691
770000	10272.278420189596
775000	10714.431898157787
780000	9980.016227783703
785000	10909.745537328743
790000	10774.238283356275
795000	8961.978917658938
800000	10685.931052023923
805000	10690.574699616189
810000	10954.177757496609
815000	10424.843934549692
820000	10893.359147315248
825000	10952.7423661941
830000	10707.68365187434
835000	10525.573271319325
840000	10187.803466891963
845000	11033.955530110321
850000	11075.0662257049
855000	9971.463448956147
860000	10747.247690657367
865000	11027.568845904698
870000	10828.736209932173
875000	10803.543966964517
880000	10129.766187473613
885000	9991.129064715122
890000	10750.634074233209
895000	10816.846739201723
900000	10528.508310277311
905000	10976.566003795237
910000	10353.012401917123
915000	10498.923154572612
920000	10635.60310224644
925000	9936.052884884539
930000	10779.802739181789
935000	10713.831974913495
940000	11023.535756689704
945000	10982.526396516148
950000	10793.1658409764
955000	10700.56451931968
960000	10087.67523296511
965000	10187.452440996864
970000	11130.588882890244
975000	10470.462431813601
980000	11013.182440171764
985000	10842.57449681072
990000	10565.040703899747
995000	10614.902523679855
1000000	10212.503874477274
