num_of_evaluation	reward
0	-1.3659852853188998
5000	-1.3659852853188998
10000	-1.3659852853188998
15000	135.00668376742323
20000	804.8497393431687
25000	642.6995645072903
30000	2152.1070444499283
35000	2724.6149559997057
40000	3383.4100796871476
45000	3925.6843745778506
50000	3155.1188445113394
55000	3635.0772722844013
60000	2573.960814526878
65000	5021.864645359308
70000	4686.058939388132
75000	5405.497661802197
80000	6189.305094706091
85000	6291.277763898078
90000	6407.904107942955
95000	6410.1588850041035
100000	6855.299667734356
105000	6796.175542309238
110000	7151.274528684517
115000	7226.677967188589
120000	7393.408310243748
125000	7339.848507594669
130000	7571.714999075661
135000	7610.348610871661
140000	7783.127535040493
145000	8055.505562284548
150000	7895.899614302983
155000	7658.47125848797
160000	8133.336661411246
165000	8067.817110098406
170000	8090.631412377767
175000	8418.553997827023
180000	7367.0747433292145
185000	8084.463163599032
190000	8180.1641904072585
195000	8653.024348467898
200000	8497.45493877167
205000	8718.079218421572
210000	7931.52190497222
215000	8599.732903834694
220000	8763.133737744842
225000	8521.623425168264
230000	8855.051240066585
235000	8704.175182557114
240000	8955.063407730288
245000	8734.544385645324
250000	9030.06117410204
255000	8803.681635513774
260000	9019.054332915013
265000	9153.855287833594
270000	9122.749901135145
275000	8842.628760400296
280000	7777.129329053714
285000	9188.451036356124
290000	9295.962451665268
295000	9245.59648158106
300000	9155.078897007505
305000	9213.602122457938
310000	9222.610345143767
315000	9022.142185240999
320000	9395.296996841445
325000	9023.902907422813
330000	9599.206900994262
335000	9707.404544110617
340000	9454.463705299195
345000	9471.866412910547
350000	9544.188860856948
355000	8982.717702027567
360000	9124.578763687321
365000	9145.303306418202
370000	9698.513279597571
375000	9843.725719450715
380000	9758.688727793215
385000	9114.346199074016
390000	9823.886896324551
395000	9285.5719767144
400000	9879.79302650924
405000	9865.250537232776
410000	9846.58981267597
415000	9605.219974274118
420000	9807.221137303091
425000	9815.841492874326
430000	9214.325206908765
435000	9973.516316855173
440000	10047.384458370097
445000	10116.484576227102
450000	9949.668827984215
455000	9995.37633730002
460000	9887.947649273805
465000	10135.467922275162
470000	9714.302971658237
475000	10306.837991872406
480000	9991.717575779603
485000	10186.92089913055
490000	10256.244319676174
495000	10028.717694684248
500000	10289.925072456292
505000	10035.126813712184
510000	10199.675152541506
515000	10113.986380572711
520000	10208.598672797627
525000	10109.778962506713
530000	10240.751624747283
535000	10395.599036897265
540000	10467.344161107665
545000	10296.990803701294
550000	10202.287088979987
555000	10221.110766280744
560000	10227.393469283781
565000	10258.130847086804
570000	10012.871657869224
575000	10493.098120142105
580000	10632.562076822938
585000	10170.400600597462
590000	10473.241763472925
595000	9811.769815051568
600000	10574.476000112301
605000	10323.201763765803
610000	10686.015545608749
615000	10106.92617711359
620000	10495.416297745756
625000	10501.77746829388
630000	10222.615580362479
635000	10445.76123378034
640000	10393.364670637919
645000	10507.960039758847
650000	10428.074213196853
655000	10698.080775414042
660000	10756.59673895803
665000	10496.6276182178
670000	10588.330570520968
675000	10404.188430043301
680000	10588.627307156146
685000	10431.502753254263
690000	10676.044578405203
695000	10476.237761843051
700000	10147.867711588055
705000	10493.99356041611
710000	10555.58990500671
715000	10348.464448222961
720000	10747.348958991448
725000	10367.553362463213
730000	10253.336060451311
735000	10526.142127944713
740000	10583.320186589652
745000	10692.801618057327
750000	10291.57797089895
755000	10614.141055916447
760000	10203.42209881059
765000	10073.714303723871
770000	10544.412006993593
775000	10652.30262114653
780000	10720.585251453214
785000	10688.030329759731
790000	10785.78765524457
795000	10821.25767485284
800000	10593.518431667706
805000	10791.072489528937
810000	10662.35466182357
815000	10447.350455532258
820000	10560.298389290187
825000	10591.404947658235
830000	10456.231950086274
835000	10559.59828112177
840000	10737.391930665635
845000	10627.962615865912
850000	10744.225539222602
855000	10755.15304020412
860000	10449.03169856716
865000	10769.453430742531
870000	10735.4302438398
875000	10644.736130503925
880000	10688.408656429749
885000	10923.370292067337
890000	10553.87733127704
895000	10778.481486351671
900000	10602.075592571015
905000	10330.656139206902
910000	10929.736718127057
915000	10995.71835138965
920000	10797.623349463496
925000	10174.158756580835
930000	10334.446040323084
935000	10730.681119453517
940000	10854.300297756527
945000	10755.970638202985
950000	10621.6845266978
955000	10877.828644731879
960000	10388.704145812515
965000	10848.749913028987
970000	10640.090562641493
975000	10900.984158898198
980000	10571.153944333708
985000	10484.095031434656
990000	10756.337675485407
995000	9997.463126573322
1000000	10896.237865299787
