num_of_evaluation	reward
0	108.96951494010901
5000	108.96951494010901
10000	108.96951494010901
15000	186.8872988062919
20000	305.32824922714
25000	355.11282121286234
30000	398.3017307829481
35000	206.246923885887
40000	286.35619682120716
45000	335.8309644804157
50000	339.0361661119488
55000	385.9467348163333
60000	401.6640686780107
65000	340.6036554750424
70000	381.8046415886599
75000	386.66511971305584
80000	451.45770605889993
85000	431.6222877168457
90000	568.8130666393704
95000	522.6628559799433
100000	476.5807808665929
105000	488.16532186150835
110000	687.6787746698112
115000	611.9037237705868
120000	553.5293544128697
125000	573.7229705179033
130000	563.289834055394
135000	645.5656637175907
140000	593.2103186474612
145000	854.2213215048636
150000	732.0250819376892
155000	654.7859765888583
160000	774.3871735711153
165000	1040.5915744011413
170000	705.9643611218592
175000	767.5574831818727
180000	846.182464620314
185000	833.3530242105869
190000	795.7775013902508
195000	847.8377111248049
200000	1034.272054595871
205000	879.7506934659095
210000	1032.6258194627962
215000	809.9984071164683
220000	819.6097626178471
225000	1021.7465741242365
230000	973.6117619641345
235000	904.8786049027128
240000	1287.4178479412024
245000	1037.5790247190387
250000	1117.01894609178
255000	2006.147542657675
260000	2342.2173975828728
265000	1438.4756757905075
270000	2385.061640259998
275000	2152.855309757067
280000	1865.0489175061853
285000	1365.4953935399515
290000	2477.5384537948603
295000	1935.1378162874103
300000	2429.420192979382
305000	2455.915614293738
310000	2005.456005108224
315000	3036.300355475306
320000	2341.5852586661354
325000	4010.6946279178273
330000	4152.149845377376
335000	3324.449353895693
340000	4029.5520513579227
345000	3081.5921629481995
350000	4330.629361258659
355000	4185.182160672718
360000	4540.385644113595
365000	3632.910068611309
370000	4347.925653828728
375000	4838.3975338615155
380000	4105.544393605715
385000	4055.908713936956
390000	4973.412559921913
395000	4799.908813053536
400000	2089.363083817637
405000	4145.267624850601
410000	4886.295602407425
415000	3930.792575331653
420000	4251.3731578477045
425000	4635.189168011695
430000	2314.2667256761483
435000	3105.6514328608273
440000	4944.615472331142
445000	4590.140855187528
450000	5126.945221765926
455000	4593.99745467064
460000	5097.49020075232
465000	5086.424339994428
470000	4841.994593713514
475000	4470.759457710057
480000	5041.37998573239
485000	4400.773232576933
490000	4623.022517080526
495000	4784.693994744403
500000	4688.581534494531
505000	4462.007109499008
510000	4863.420020878035
515000	4935.0136004142205
520000	4637.538760723044
525000	4617.838633702389
530000	4719.557961598492
535000	4449.630289530476
540000	4449.9452480740565
545000	3740.3680674427924
550000	4641.296291720047
555000	5034.111360713932
560000	5168.043540423579
565000	5107.069019905208
570000	4312.158584611073
575000	4675.796514936474
580000	4402.49963657433
585000	4511.964852715711
590000	5114.58743656706
595000	4963.335902820055
600000	4659.707608953468
605000	3947.7102844286746
610000	4666.659471467386
615000	5085.690010199084
620000	5100.192193910115
625000	5200.351969274294
630000	5116.023385883019
635000	5175.162121648785
640000	4944.89992513482
645000	4922.3601911176875
650000	5151.734009514375
655000	5159.187728627216
660000	5012.385119140651
665000	5218.635943666968
670000	4659.113298907551
675000	5145.039691593691
680000	5099.276646150674
685000	5231.28775976943
690000	5027.228497657279
695000	5207.527432995205
700000	5237.853715123309
705000	4385.70525734602
710000	5203.8381779256915
715000	5137.0959406977745
720000	4962.261078380354
725000	5213.7992180933015
730000	5017.374683127453
735000	5151.2568431510535
740000	5203.373169675013
745000	5111.051699713424
750000	5209.3623520976125
755000	4923.318252453206
760000	5001.141833061004
765000	5188.37618356892
770000	5170.812922994165
775000	5252.753783476236
780000	5094.987095857492
785000	5230.227209361525
790000	4516.906462431523
795000	5293.02367102584
800000	5036.003996884625
805000	5168.426760372679
810000	5299.81473089524
815000	4874.957386109078
820000	5197.547599684047
825000	5230.985292313753
830000	5183.2146948648715
835000	5135.7928408598555
840000	4951.467074787028
845000	5165.221230451007
850000	5203.653672491013
855000	5174.693499616907
860000	5146.131816032533
865000	5223.608532781153
870000	5305.047117757595
875000	5290.4901371048345
880000	4715.057864017419
885000	5352.775464017656
890000	5186.75132004094
895000	5349.988339970343
900000	5153.982419064071
905000	5158.402705530198
910000	5188.972549559874
915000	5221.574612304505
920000	5120.170850478487
925000	5262.097642005518
930000	5297.6501965102025
935000	5227.71629343885
940000	5208.511750375376
945000	5329.007344244118
950000	5245.001736685013
955000	5098.104892352722
960000	5323.900552830283
965000	5280.120440504284
970000	4841.844434659668
975000	4770.325597763628
980000	5171.29047588631
985000	5254.254945603066
990000	4613.563371116254
995000	5336.040882763595
1000000	5361.630438919478
