num_of_evaluation	reward
0	107.99329869767898
5000	107.99329869767898
10000	107.99329869767898
15000	231.1102520863892
20000	338.1482311053741
25000	377.58320607614326
30000	324.94399499888044
35000	263.10307010588957
40000	332.2775258852254
45000	356.2407783322866
50000	393.0025541827264
55000	456.23028264140714
60000	448.9475471513374
65000	403.4210395745742
70000	468.2238517139728
75000	481.6575015641741
80000	448.6657742118865
85000	443.79851604364995
90000	417.8841586365837
95000	508.41758271644295
100000	564.4897689601355
105000	547.8606182154892
110000	566.6277333725039
115000	524.2087459482857
120000	626.1166267226047
125000	746.0329045056553
130000	591.3457277390931
135000	604.4181412804352
140000	642.1699228084093
145000	865.5698717275212
150000	783.883485577814
155000	654.8402668408188
160000	661.3692138953402
165000	752.8439835307746
170000	950.8110104471409
175000	766.1760584266275
180000	746.2694994081232
185000	823.3818375406265
190000	1109.9885769195141
195000	896.3994084180252
200000	1593.9660636689277
205000	1054.8109576491834
210000	1142.0929128786197
215000	879.7946950926129
220000	1248.6348057475695
225000	883.5636223423282
230000	1455.5172237852623
235000	1410.8135470796421
240000	1320.7108550997887
245000	1616.3633176660678
250000	1087.7130711675647
255000	1225.2959182341424
260000	1484.6905165462908
265000	1302.3140354608136
270000	1152.9050378165405
275000	1101.526762557337
280000	2283.1445682694166
285000	1908.6508409374462
290000	1415.3988835360458
295000	2286.2254872927456
300000	1807.8998651418326
305000	1769.966221568656
310000	2324.1516343778403
315000	2519.2077403627964
320000	3492.2242344218494
325000	2842.710200457629
330000	2796.8168830776135
335000	2905.3937658948207
340000	2435.723761158382
345000	3866.5393470685494
350000	3256.7139437499395
355000	4113.681426143518
360000	4546.337872773374
365000	3478.445751596499
370000	3757.5440468707684
375000	2026.9596856917917
380000	3882.7766421159226
385000	4851.040831167122
390000	4449.865545853466
395000	4711.117688026429
400000	4291.184148989456
405000	4845.474582979791
410000	4871.109630334039
415000	4361.4144384247065
420000	4842.643550585219
425000	4864.163130426458
430000	4799.487517189467
435000	5046.958869868959
440000	4620.060923061461
445000	4716.967357821612
450000	3973.2607244509322
455000	4933.699545907529
460000	5036.510979249876
465000	4942.418885567235
470000	5069.8620422154345
475000	5016.210318304104
480000	4272.6444823308575
485000	4582.006164221084
490000	4832.7232789768295
495000	4387.447125638568
500000	5019.972573342656
505000	5089.120892599898
510000	4797.29649765771
515000	5074.896723981493
520000	4976.177264883145
525000	3988.749960851523
530000	4599.3635770135415
535000	5009.869912491029
540000	5140.684809745029
545000	4808.482410134358
550000	4197.035103695961
555000	4636.263806021425
560000	4909.551197633722
565000	4422.267582417947
570000	4746.856421381755
575000	4319.138853454307
580000	4517.629965016191
585000	4655.906422923813
590000	5210.822784984851
595000	4968.2270751827955
600000	4944.339580208489
605000	5078.688572349621
610000	4574.354380889654
615000	4602.755994582907
620000	5069.925381220942
625000	4740.499183209557
630000	4971.014583428417
635000	5125.393515903655
640000	4949.39183374758
645000	5165.103432351012
650000	5103.664102500565
655000	5133.430915464145
660000	4809.035043069065
665000	5138.209605038043
670000	4455.2828105050485
675000	4858.96847963256
680000	5082.309865882269
685000	5067.80007972279
690000	5019.803636511917
695000	5192.314293147115
700000	4914.858744805601
705000	4970.585993169265
710000	5008.753643883886
715000	4989.658191422555
720000	4804.639416162242
725000	5172.96931066055
730000	4870.483179029676
735000	5002.072179025355
740000	5050.846674275811
745000	5129.0854772099865
750000	4990.10309461113
755000	5025.779609934221
760000	4949.939744131696
765000	5197.802686672383
770000	4972.733010914485
775000	4969.141072826928
780000	5059.984992768586
785000	5287.967097704345
790000	5029.281349453228
795000	5059.298726408372
800000	5145.9163915313875
805000	5104.042283703442
810000	5298.495701621331
815000	5270.21789454952
820000	5208.140274485506
825000	5304.114744006242
830000	4974.153078172934
835000	5157.401995513339
840000	5033.1968555644935
845000	5189.046790804454
850000	5310.918395307253
855000	5212.633314968417
860000	5159.949142368007
865000	5280.401723086862
870000	5339.318796662801
875000	5304.69780493287
880000	5203.741089824546
885000	5200.631559691597
890000	5103.561731547736
895000	5210.851201119256
900000	5374.774558967014
905000	5133.72963267867
910000	5234.6243056561725
915000	5056.934821886237
920000	5370.902407542859
925000	5305.020024075727
930000	5231.923176981655
935000	5311.01758093477
940000	5233.360528354177
945000	5317.785667530158
950000	5212.136518961129
955000	5225.740251392176
960000	5350.168836715717
965000	5047.941558318725
970000	5371.88368976067
975000	5424.282544552462
980000	5083.254652578597
985000	5340.936698557721
990000	5352.825841827805
995000	5308.873902384845
1000000	5434.837658012979
