num_of_evaluation	reward
0	319.83532532779503
5000	319.83532532779503
10000	319.83532532779503
15000	171.217912730754
20000	207.67394132983335
25000	283.2266152712097
30000	321.14665730977157
35000	325.1816789249818
40000	289.6041012133137
45000	247.8545398754598
50000	409.1557639395196
55000	219.681386460048
60000	453.8412514156468
65000	387.38568775770375
70000	406.84378852374005
75000	456.48518994973773
80000	482.1654863447681
85000	412.6648507596407
90000	449.5895090994878
95000	498.9277450874406
100000	454.89284419029553
105000	573.7272636833071
110000	535.4770654528655
115000	460.92936810689736
120000	580.734274552425
125000	469.2127194861382
130000	698.1954219711045
135000	785.2614984090014
140000	875.6173949327028
145000	670.4761588346737
150000	757.9706928786896
155000	719.6762648591032
160000	943.2291515590017
165000	771.2213203972472
170000	915.4126017833867
175000	1130.1125827670508
180000	1283.1575666537851
185000	1084.7924007209042
190000	867.1021985402365
195000	1130.2526688714893
200000	1830.9255496646801
205000	1226.3394842418543
210000	1424.732611872379
215000	2194.990396409573
220000	2588.8635664927774
225000	1690.7932785979647
230000	2843.2134348451864
235000	2599.5473573094005
240000	3057.0701961714276
245000	3004.310257257236
250000	2696.978507495095
255000	2308.209444056079
260000	1871.8150350329202
265000	3626.3533950658248
270000	3164.8777608605083
275000	3997.537512423457
280000	3364.8335387303987
285000	3795.44293956989
290000	2637.9937701002877
295000	3906.4506113731086
300000	4082.337900290479
305000	3115.5230276144384
310000	4336.202130929125
315000	3661.1359926668847
320000	4654.890546612956
325000	4436.430206604551
330000	3900.744829680215
335000	4214.203507449944
340000	4234.881162588351
345000	4566.8661817076145
350000	4636.8434637966475
355000	4327.879136697551
360000	4579.114004458442
365000	4661.457558270172
370000	4738.475501404856
375000	4612.292536112102
380000	4598.192497341051
385000	4269.520848480742
390000	4547.1084278029575
395000	4609.7465797127015
400000	4487.709692174347
405000	4655.95005411477
410000	4600.918421874493
415000	4345.7239431353755
420000	4170.228536171124
425000	3891.655922811966
430000	4684.591142427671
435000	4785.375015620364
440000	4843.7952377760275
445000	3903.5012289559904
450000	4295.258020572238
455000	4714.047100352373
460000	3905.0257840477366
465000	4658.473182344437
470000	4282.5452959841
475000	4499.2811191129895
480000	4738.496035786835
485000	4833.181166416602
490000	3638.985415125176
495000	4443.36035983002
500000	4602.205095438236
505000	4676.992710277348
510000	4899.08008868728
515000	3045.9668167907016
520000	4813.692089669772
525000	4242.693265176058
530000	4771.2432028208805
535000	4629.969722500968
540000	4573.49343250734
545000	4493.271811803325
550000	4806.091718700661
555000	4615.950314733132
560000	4649.574986454127
565000	4274.476806482634
570000	4515.605890053524
575000	4656.226339071794
580000	4663.446514934706
585000	3336.7832903043736
590000	4144.386327405463
595000	4242.257144115293
600000	4362.653737579993
605000	4574.012439133736
610000	4725.310496396356
615000	4425.998617680609
620000	4670.538284508452
625000	4380.054674920635
630000	4557.811397062326
635000	4387.66365222745
640000	4861.491496754014
645000	3692.763646453818
650000	4873.191972586497
655000	3805.1047492818434
660000	4652.711841927459
665000	4516.828906482025
670000	4231.049511280447
675000	2346.857819724247
680000	4775.219246133421
685000	4907.803536347594
690000	3623.5495991751027
695000	4724.461067381897
700000	4743.051872783372
705000	4736.7518647796
710000	4819.253219772179
715000	4627.428748270709
720000	4821.8235814322725
725000	4666.04917607964
730000	4821.496828270064
735000	4893.1016468419975
740000	4779.728077168622
745000	4869.815415283896
750000	4880.046176308529
755000	4210.971315893039
760000	4788.1123935173155
765000	4383.8195179006825
770000	4859.377935492119
775000	4602.994411421923
780000	4895.216325682819
785000	4891.777441994847
790000	4867.9304622225945
795000	4896.855566685705
800000	4061.51147622414
805000	4902.916135566865
810000	4829.181431111272
815000	4808.95101231388
820000	4826.894074138082
825000	4677.560353896268
830000	4696.190932613595
835000	4760.577017944744
840000	4852.860601273537
845000	4783.3397462754
850000	4667.916139116622
855000	4846.6212825422845
860000	4712.91386114801
865000	4899.635905594292
870000	4356.876017722493
875000	4877.411042934341
880000	4886.965475892228
885000	4858.4682181936
890000	4878.255449291546
895000	4888.537863743818
900000	4510.710182387736
905000	4985.953851589414
910000	4562.319615494261
915000	4903.118286292762
920000	4700.306747519895
925000	4878.224468716197
930000	4934.537257489227
935000	5011.184122141773
940000	4961.943682041985
945000	4541.825360958091
950000	5002.089483596512
955000	4450.6472903765625
960000	4948.050033118879
965000	4557.327807409292
970000	5022.859424227025
975000	4841.2327828456
980000	4975.280315679431
985000	4993.916982022044
990000	4953.28652841964
995000	4866.229609733595
1000000	4990.337540871242
